onetsoc_code,cip_code,match_strength,qualifier,note
13-1082.00,52.0201,0.98,"Business Administration Major, B.S.","seeded from ""Business Administration""; CIP shared"
13-1082.00,52.0201,0.98,"Management Major, B.S.","seeded from ""Management""; CIP shared"
13-1082.00,52.0299,0.87,"Operations Management Major, B.S.","seeded from ""Operations Management""; CIP shared"
13-1082.00,52.0301,0.80,,"seeded from ""Accounting"""
13-1082.00,52.0801,0.80,,"seeded from ""Finance"""
13-1111.00,52.0201,0.98,"Business Administration Major, B.S.","seeded from ""Business Administration""; CIP shared"
13-1111.00,52.0201,0.91,"Management Major, B.S.","seeded from ""Management""; CIP shared"
13-1111.00,52.0299,0.91,"Operations Management Major, B.S.","seeded from ""Operations Management""; CIP shared"
13-1121.00,52.0201,0.61,"Business Administration Major, B.S.","seeded from ""Business Administration""; CIP shared"
13-1121.00,52.0299,0.61,"Brewery Operations Major, B.S.","seeded from ""Brewery Operations""; CIP shared"
13-1121.00,52.0907,0.98,,"seeded from ""Event and Meeting Management"""
13-1131.00,50.0404,0.94,,"seeded from ""Industrial Design"""
13-1131.00,52.0301,0.72,,"seeded from ""Accounting"""
13-1131.00,52.0801,0.94,,"seeded from ""Finance"""
13-1141.00,13.1001,0.93,,"seeded from ""Special Education"""
13-1141.00,52.1001,0.80,,"seeded from ""Human Resource Management"""
13-1151.00,50.0404,0.94,,"seeded from ""Industrial Design"""
13-1151.00,50.0702,0.72,,"seeded from ""Art"""
13-1151.00,50.0703,0.72,,"seeded from ""Art History, Theory, and Criticism"""
13-1161.00,23.1304,0.70,,"seeded from ""Communication Studies"""
13-1161.00,52.0201,0.72,"Business Administration Major, B.S.","seeded from ""Business Administration""; CIP shared"
13-1161.00,52.1399,0.80,,"seeded from ""Business Intelligence"""
13-1161.00,52.1401,0.96,,"seeded from ""Marketing"""
13-1161.01,52.0301,0.65,,"seeded from ""Accounting"""
13-1161.01,52.1399,0.77,,"seeded from ""Business Intelligence"""
13-1161.01,52.1401,0.98,,"seeded from ""Marketing"""
13-1199.00,52.0201,0.98,"Business Administration Major, B.S.","seeded from ""Business Administration""; CIP shared"
13-1199.00,52.0201,0.92,"International Business Major, B.S.","seeded from ""International Business""; CIP shared"
13-1199.00,52.1399,0.87,,"seeded from ""Business Intelligence"""
13-1199.04,52.0201,0.98,"Business Administration Major, B.S.","seeded from ""Business Administration""; CIP shared"
13-1199.04,52.0201,0.93,"International Business Major, B.S.","seeded from ""International Business""; CIP shared"
13-1199.04,52.0907,0.95,,"seeded from ""Event and Meeting Management"""
13-1199.04,52.1399,0.87,,"seeded from ""Business Intelligence"""
13-1199.05,03.0103,0.98,,"seeded from ""Environmental Sustainability"""
13-1199.05,14.1401,0.84,,"seeded from ""Environmental Engineering"""
13-1199.05,52.0201,0.74,"Business Administration Major, B.S.","seeded from ""Business Administration""; CIP shared"
13-1199.06,52.0201,0.91,"Business Administration Major, B.S.","seeded from ""Business Administration""; CIP shared"
13-1199.06,52.0201,0.91,"International Business Major, B.S.","seeded from ""International Business""; CIP shared"
13-1199.06,52.0301,0.98,,"seeded from ""Accounting"""
13-1199.06,52.0801,0.79,,"seeded from ""Finance"""
13-1199.06,52.1399,0.79,,"seeded from ""Business Intelligence"""
13-1199.06,52.1401,0.91,,"seeded from ""Marketing"""
13-1199.07,50.0404,0.80,,"seeded from ""Industrial Design"""
13-1199.07,52.0201,0.98,"Business Administration Major, B.S.","seeded from ""Business Administration""; CIP shared"
13-1199.07,52.0201,0.98,"Management Major, B.S.","seeded from ""Management""; CIP shared"
13-1199.07,52.0299,0.87,"Operations Management Major, B.S.","seeded from ""Operations Management""; CIP shared"
13-2011.00,52.0201,0.70,"Business Administration Major, B.S.","seeded from ""Business Administration""; CIP shared"
13-2011.00,52.0301,0.98,,"seeded from ""Accounting"""
13-2011.00,52.0801,0.75,,"seeded from ""Finance"""
13-2022.00,52.0201,0.98,"Business Administration Major, B.S.","seeded from ""Business Administration""; CIP shared"
13-2022.00,52.0201,0.98,"International Business Major, B.S.","seeded from ""International Business""; CIP shared"
13-2022.00,52.1399,0.91,,"seeded from ""Business Intelligence"""
13-2022.00,52.1501,0.88,,"seeded from ""Real Estate"""
13-2023.00,52.0301,0.62,,"seeded from ""Accounting"""
13-2023.00,52.1501,0.98,,"seeded from ""Real Estate"""
13-2031.00,45.0601,0.96,,"seeded from ""Economics"""
13-2031.00,52.0301,0.98,,"seeded from ""Accounting"""
13-2031.00,52.0801,0.70,,"seeded from ""Finance"""
13-2041.00,45.0601,0.82,,"seeded from ""Economics"""
13-2041.00,52.0201,0.70,"Business Administration Major, B.S.","seeded from ""Business Administration""; CIP shared"
13-2041.00,52.0301,0.78,,"seeded from ""Accounting"""
13-2041.00,52.0801,0.96,,"seeded from ""Finance"""
13-2051.00,52.0301,0.68,,"seeded from ""Accounting"""
13-2051.00,52.0801,0.98,,"seeded from ""Finance"""
13-2051.00,52.1399,0.83,,"seeded from ""Business Intelligence"""
13-2052.00,45.0601,0.82,,"seeded from ""Economics"""
13-2052.00,52.0201,0.70,"Business Administration Major, B.S.","seeded from ""Business Administration""; CIP shared"
13-2052.00,52.0301,0.78,,"seeded from ""Accounting"""
13-2052.00,52.0801,0.96,,"seeded from ""Finance"""
13-2053.00,52.0301,0.72,,"seeded from ""Accounting"""
13-2053.00,52.0801,0.94,,"seeded from ""Finance"""
13-2054.00,45.0601,0.83,,"seeded from ""Economics"""
13-2054.00,52.0301,0.68,,"seeded from ""Accounting"""
13-2054.00,52.0801,0.98,,"seeded from ""Finance"""
13-2061.00,52.0301,0.63,,"seeded from ""Accounting"""
13-2061.00,52.0801,0.83,,"seeded from ""Finance"""
13-2061.00,52.1501,0.98,,"seeded from ""Real Estate"""
